START_DATE,CCN
2016-12-20,101
2016-12-21,110
2016-12-22,100
2016-12-23,133
2016-12-24,86
2016-12-25,45
2016-12-26,69
2016-12-27,90
2016-12-28,109
2016-12-29,108
2016-12-30,106
2016-12-31,88
2017-01-01,91
2017-01-02,96
2017-01-03,93
2017-01-04,91
2017-01-05,98
2017-01-06,86
2017-01-07,76
2017-01-08,75
2017-01-09,83
2017-01-10,74
2017-01-11,89
2017-01-12,109
2017-01-13,105
2017-01-14,82
2017-01-15,103
2017-01-16,96
2017-01-17,114
2017-01-18,99
2017-01-19,107
2017-01-20,98
2017-01-21,92
2017-01-22,102
2017-01-23,90
2017-01-24,120
2017-01-25,101
2017-01-26,120
2017-01-27,118
2017-01-28,113
2017-01-29,111
2017-01-30,101
2017-01-31,68
2017-02-01,85
2017-02-02,76
2017-02-03,83
2017-02-04,102
2017-02-05,87
2017-02-06,84
2017-02-07,97
2017-02-08,78
2017-02-09,77
2017-02-10,73
2017-02-11,75
2017-02-12,71
2017-02-13,93
2017-02-14,81
2017-02-15,74
2017-02-16,80
2017-02-17,105
2017-02-18,96
2017-02-19,99
2017-02-20,90
2017-02-21,98
2017-02-22,81
2017-02-23,97
2017-02-24,107
2017-02-25,72
2017-02-26,78
2017-02-27,77
2017-02-28,73
2017-03-01,71
2017-03-02,64
2017-03-03,84
2017-03-04,78
2017-03-05,70
2017-03-06,76
2017-03-07,80
2017-03-08,75
2017-03-09,74
2017-03-10,84
2017-03-11,67
2017-03-12,61
2017-03-13,71
2017-03-14,46
2017-03-15,65
2017-03-16,66
2017-03-17,73
2017-03-18,70
2017-03-19,59
2017-03-20,95
2017-03-21,77
2017-03-22,78
2017-03-23,71
2017-03-24,84
2017-03-25,87
2017-03-26,80
2017-03-27,91
2017-03-28,74
2017-03-29,77
2017-03-30,75
2017-03-31,82
2017-04-01,94
2017-04-02,75
2017-04-03,75
2017-04-04,85
2017-04-05,86
2017-04-06,73
2017-04-07,85
2017-04-08,76
2017-04-09,105
2017-04-10,96
2017-04-11,86
2017-04-12,88
2017-04-13,81
2017-04-14,100
2017-04-15,113
2017-04-16,84
2017-04-17,91
2017-04-18,69
2017-04-19,102
2017-04-20,88
2017-04-21,87
2017-04-22,92
2017-04-23,95
2017-04-24,84
2017-04-25,93
2017-04-26,89
2017-04-27,95
2017-04-28,115
2017-04-29,114
2017-04-30,79
2017-05-01,78
2017-05-02,91
2017-05-03,97
2017-05-04,73
2017-05-05,138
2017-05-06,101
2017-05-07,99
2017-05-08,108
2017-05-09,89
2017-05-10,111
2017-05-11,82
2017-05-12,110
2017-05-13,82
2017-05-14,80
2017-05-15,100
2017-05-16,81
2017-05-17,94
2017-05-18,96
2017-05-19,96
2017-05-20,107
2017-05-21,102
2017-05-22,97
2017-05-23,95
2017-05-24,109
2017-05-25,102
2017-05-26,113
2017-05-27,117
2017-05-28,110
2017-05-29,106
2017-05-30,108
2017-05-31,94
2017-06-01,93
2017-06-02,92
2017-06-03,95
2017-06-04,87
2017-06-05,108
2017-06-06,93
2017-06-07,94
2017-06-08,99
2017-06-09,107
2017-06-10,87
2017-06-11,91
2017-06-12,91
2017-06-13,80
2017-06-14,92
2017-06-15,109
2017-06-16,101
2017-06-17,104
2017-06-18,90
2017-06-19,92
2017-06-20,101
2017-06-21,90
2017-06-22,109
2017-06-23,131
2017-06-24,111
2017-06-25,84
2017-06-26,100
2017-06-27,78
2017-06-28,111
2017-06-29,88
2017-06-30,89
2017-07-01,93
2017-07-02,97
2017-07-03,97
2017-07-04,92
2017-07-05,97
2017-07-06,83
2017-07-07,94
2017-07-08,123
2017-07-09,98
2017-07-10,92
2017-07-11,91
2017-07-12,109
2017-07-13,79
2017-07-14,108
2017-07-15,96
2017-07-16,87
2017-07-17,98
2017-07-18,86
2017-07-19,104
2017-07-20,75
2017-07-21,90
2017-07-22,80
2017-07-23,95
2017-07-24,84
2017-07-25,82
2017-07-26,73
2017-07-27,102
2017-07-28,71
2017-07-29,89
2017-07-30,112
2017-07-31,100
2017-08-01,104
2017-08-02,68
2017-08-03,79
2017-08-04,96
2017-08-05,94
2017-08-06,83
2017-08-07,106
2017-08-08,77
2017-08-09,93
2017-08-10,74
2017-08-11,93
2017-08-12,88
2017-08-13,78
2017-08-14,87
2017-08-15,95
2017-08-16,88
2017-08-17,101
2017-08-18,94
2017-08-19,104
2017-08-20,74
2017-08-21,97
2017-08-22,90
2017-08-23,104
2017-08-24,112
2017-08-25,108
2017-08-26,103
2017-08-27,95
2017-08-28,75
2017-08-29,85
2017-08-30,75
2017-08-31,81
2017-09-01,100
2017-09-02,77
2017-09-03,89
2017-09-04,70
2017-09-05,87
2017-09-06,82
2017-09-07,82
2017-09-08,94
2017-09-09,103
2017-09-10,70
