STATION,NAME,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/28/2016,22.9,24,0,,999.9,,48, ,25, ,8.9,,0,G,1017.1,24,3.1,,14.9,24,32.8,24,10,24,3.8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/29/2016,24.3,24,1000,,29.9,,43, ,25, ,22,,0,G,1005,24,3.1,,2.7,24,36.4,24,9.9,24,9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/30/2016,19,24,0,,20,,43, ,24.1, ,11.1,,0,G,1018,24,3.1,,15.7,24,33.4,24,10,24,6.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",1/31/2016,28.1,24,0,,999.9,,57, ,24.1, ,13,,0,G,1014.7,24,2,,12.4,24,43.1,24,10,24,8.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/1/2016,40.5,24,10000,,999.9,,61, ,36, ,14,,0,G,1011.1,23,3.1,,8.8,24,50,24,9.9,24,8.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/2/2016,34.7,24,0,,999.9,,61, ,36, ,9.9,,0.12,G,1023.2,24,999.9,,20.9,24,44.1,24,10,24,5.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/3/2016,39.8,24,10000,,25.1,,57, ,36, ,15.9,,0,G,1020.4,21,999.9,,17.2,24,45.4,24,9.3,24,5.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/4/2016,44.1,24,110000,,19,,57.9, ,41, ,17.1,,0.52,G,1016.8,18,999.9,,13,24,52.2,24,7.2,24,11.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/5/2016,26.6,24,11000,,29.9,,57.9, ,36, ,21,,0.04,G,1022.6,24,999.9,,20,24,40.7,24,9.2,24,13.9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/6/2016,20.7,24,0,,999.9,,44.1, ,28, ,9.9,,0,I,1029.6,24,999.9,,27.3,24,35.9,24,10,24,5.6,24
